fips,area_type,year,average_seasonally_adjusted_unemployment_rate
51,State,1988,3.9
51,State,1989,3.9
51,State,1990,4.5
51,State,1991,5.9
51,State,1992,6.3
51,State,1993,5.2
51,State,1994,4.8
51,State,1995,4.5
51,State,1996,4.4
51,State,1997,3.8
51,State,1998,2.9
51,State,1999,2.8
51,State,2000,2.3
51,State,2001,3.2
51,State,2002,4.2
51,State,2003,4.1
51,State,2004,3.8
51,State,2005,3.6
51,State,2006,3.1
51,State,2007,3.1
51,State,2008,4.1
51,State,2009,6.8
51,State,2010,7.0
51,State,2011,6.5
51,State,2012,5.9
51,State,2013,5.6
51,State,2014,5.1
51,State,2015,4.4
51,State,2016,3.9
53,State,1976,8.9
53,State,1977,8.5
53,State,1978,6.8
53,State,1979,6.7
53,State,1980,8.1
53,State,1981,9.6
53,State,1982,11.9
53,State,1983,11.1
53,State,1984,9.3
53,State,1985,8.4
53,State,1986,8.1
53,State,1987,7.3
53,State,1988,6.3
53,State,1989,5.9
53,State,1990,5.3
53,State,1991,6.4
53,State,1992,7.3
53,State,1993,7.3
53,State,1994,6.5
53,State,1995,6.4
53,State,1996,6.0
53,State,1997,4.9
53,State,1998,4.8
53,State,1999,4.9
53,State,2000,5.1
53,State,2001,6.3
53,State,2002,7.4
53,State,2003,7.4
53,State,2004,6.2
53,State,2005,5.5
53,State,2006,5.0
53,State,2007,4.7
53,State,2008,5.5
53,State,2009,9.2
53,State,2010,9.9
53,State,2011,9.2
53,State,2012,8.1
53,State,2013,6.9
53,State,2014,6.1
53,State,2015,5.7
53,State,2016,5.8
54,State,1976,7.3
54,State,1977,6.9
54,State,1978,6.2
54,State,1979,6.9
54,State,1980,9.5
54,State,1981,10.6
54,State,1982,14.0
54,State,1983,17.8
54,State,1984,14.8
54,State,1985,13.2
54,State,1986,11.8
54,State,1987,10.8
54,State,1988,9.8
54,State,1989,8.6
54,State,1990,8.5
54,State,1991,10.7
54,State,1992,11.3
54,State,1993,10.6
54,State,1994,8.8
54,State,1995,7.9
54,State,1996,7.5
54,State,1997,6.9
54,State,1998,6.6
54,State,1999,6.4
54,State,2000,5.5
54,State,2001,5.0
54,State,2002,5.9
54,State,2003,6.1
54,State,2004,5.3
54,State,2005,5.1
54,State,2006,4.9
54,State,2007,4.6
54,State,2008,4.4
54,State,2009,7.8
54,State,2010,8.6
54,State,2011,8.0
54,State,2012,7.4
54,State,2013,6.7
54,State,2014,6.6
54,State,2015,6.7
54,State,2016,6.2
55,State,1976,5.6
55,State,1977,5.1
55,State,1978,5.0
55,State,1979,4.6
55,State,1980,7.2
55,State,1981,8.0
55,State,1982,10.5
55,State,1983,10.2
55,State,1984,7.4
55,State,1985,7.2
55,State,1986,7.0
55,State,1987,5.9
55,State,1988,4.4
55,State,1989,4.3
55,State,1990,4.4
55,State,1991,5.5
55,State,1992,5.1
55,State,1993,4.8
55,State,1994,4.5
55,State,1995,3.8
55,State,1996,3.6
55,State,1997,3.5
55,State,1998,3.4
55,State,1999,3.1
55,State,2000,3.5
55,State,2001,4.6
55,State,2002,5.4
55,State,2003,5.7
55,State,2004,5.0
55,State,2005,4.7
55,State,2006,4.8
55,State,2007,4.9
55,State,2008,5.0
55,State,2009,8.6
55,State,2010,8.6
55,State,2011,7.7
55,State,2012,7.0
55,State,2013,6.6
55,State,2014,5.4
55,State,2015,4.6
55,State,2016,4.4
56,State,1976,4.0
56,State,1977,3.4
56,State,1978,3.0
56,State,1979,2.8
56,State,1980,3.9
56,State,1981,4.1
56,State,1982,6.2
56,State,1983,8.1
56,State,1984,6.2
56,State,1985,6.9
56,State,1986,8.9
56,State,1987,8.0
56,State,1988,6.4
56,State,1989,6.1
56,State,1990,5.3
56,State,1991,5.2
56,State,1992,5.6
56,State,1993,5.4
56,State,1994,5.0
56,State,1995,4.8
56,State,1996,4.9
56,State,1997,4.8
56,State,1998,4.7
56,State,1999,4.6
56,State,2000,3.9
56,State,2001,3.8
56,State,2002,4.0
56,State,2003,4.3
56,State,2004,3.8
56,State,2005,3.6
56,State,2006,3.2
56,State,2007,2.8
56,State,2008,3.1
56,State,2009,6.3
56,State,2010,6.5
56,State,2011,5.8
56,State,2012,5.3
56,State,2013,4.7
56,State,2014,4.1
56,State,2015,4.2
56,State,2016,5.3
72,State,1976,19.5
72,State,1977,20.0
72,State,1978,18.0
72,State,1979,17.0
72,State,1980,17.1
72,State,1981,19.8
72,State,1982,22.9
72,State,1983,23.4
72,State,1984,20.7
72,State,1985,21.7
72,State,1986,18.9
72,State,1987,16.8
72,State,1988,15.0
72,State,1989,14.6
72,State,1990,14.4
72,State,1991,16.0
72,State,1992,16.7
72,State,1993,17.0
72,State,1994,14.5
72,State,1995,13.7
72,State,1996,13.5
72,State,1997,13.4
72,State,1998,13.3
72,State,1999,11.7
72,State,2000,10.2
72,State,2001,11.4
72,State,2002,12.2
72,State,2003,12.0
72,State,2004,10.6
72,State,2005,11.2
72,State,2006,10.6
72,State,2007,11.2
72,State,2008,11.8
72,State,2009,15.4
72,State,2010,16.4
72,State,2011,16.0
72,State,2012,14.4
72,State,2013,14.2
72,State,2014,13.8
72,State,2015,12.1
72,State,2016,11.6
