fips,area_type,year,month,seasonally_adjusted_unemployment_rate,labor_force
01,State,1990,02,6.7,1904243
01,State,1990,03,6.7,1906774
01,State,1990,04,6.7,1908194
01,State,1990,05,6.6,1908621
01,State,1990,06,6.6,1908506
01,State,1990,07,6.7,1908634
01,State,1990,08,6.7,1909381
01,State,1990,09,6.9,1910470
01,State,1990,10,7.0,1911531
01,State,1990,11,7.1,1912461
01,State,1990,12,7.2,1913237
01,State,1991,01,7.3,1914048
01,State,1991,02,7.4,1915246
01,State,1991,03,7.5,1916488
01,State,1991,04,7.5,1917480
01,State,1991,05,7.5,1918219
01,State,1991,06,7.4,1918870
01,State,1991,07,7.3,1919720
01,State,1991,08,7.2,1921139
01,State,1991,09,7.2,1923582
01,State,1991,10,7.3,1927027
01,State,1991,11,7.3,1931204
01,State,1991,12,7.5,1935817
01,State,1992,01,7.5,1940773
01,State,1992,02,7.6,1946091
01,State,1992,03,7.7,1951956
01,State,1992,04,7.7,1958116
01,State,1992,05,7.7,1963629
01,State,1992,06,7.7,1967855
01,State,1992,07,7.6,1970702
01,State,1992,08,7.6,1972375
01,State,1992,09,7.5,1973483
01,State,1992,10,7.4,1974911
01,State,1992,11,7.4,1977415
01,State,1992,12,7.4,1981336
01,State,1993,01,7.5,1986314
01,State,1993,02,7.5,1991936
01,State,1993,03,7.5,1997801
01,State,1993,04,7.5,2003259
01,State,1993,05,7.6,2007745
01,State,1993,06,7.5,2010646
01,State,1993,07,7.5,2011442
01,State,1993,08,7.4,2010537
01,State,1993,09,7.2,2009188
01,State,1993,10,7.1,2008423
01,State,1993,11,7.0,2008649
01,State,1993,12,6.9,2009625
01,State,1994,01,6.8,2010811
01,State,1994,02,6.6,2011533
01,State,1994,03,6.5,2011797
01,State,1994,04,6.3,2012409
01,State,1994,05,6.1,2014308
01,State,1994,06,6.0,2018249
01,State,1994,07,6.0,2024317
01,State,1994,08,6.0,2031870
01,State,1994,09,6.0,2039755
01,State,1994,10,6.0,2046838
01,State,1994,11,6.0,2052648
01,State,1994,12,5.9,2057004
01,State,1995,01,5.9,2060118
01,State,1995,02,6.0,2062503
01,State,1995,03,6.0,2064640
01,State,1995,04,6.1,2066708
01,State,1995,05,6.1,2068853
01,State,1995,06,6.1,2070748
01,State,1995,07,6.1,2072113
01,State,1995,08,6.1,2072645
01,State,1995,09,5.9,2072086
01,State,1995,10,5.8,2070745
01,State,1995,11,5.6,2069116
01,State,1995,12,5.5,2067971
01,State,1996,01,5.4,2067938
01,State,1996,02,5.4,2069233
01,State,1996,03,5.4,2071579
01,State,1996,04,5.4,2074403
01,State,1996,05,5.3,2077452
01,State,1996,06,5.2,2081102
01,State,1996,07,5.1,2085728
01,State,1996,08,5.0,2091455
01,State,1996,09,5.0,2098058
01,State,1996,10,5.1,2104872
01,State,1996,11,5.2,2111143
01,State,1996,12,5.2,2116265
01,State,1997,01,5.2,2120012
01,State,1997,02,5.2,2122793
01,State,1997,03,5.1,2125260
01,State,1997,04,5.1,2128239
01,State,1997,05,5.1,2131807
01,State,1997,06,5.1,2135485
01,State,1997,07,5.1,2138781
01,State,1997,08,5.0,2141158
01,State,1997,09,4.9,2141883
01,State,1997,10,4.8,2140880
01,State,1997,11,4.6,2138584
01,State,1997,12,4.4,2136042
01,State,1998,01,4.3,2134483
01,State,1998,02,4.2,2134536
01,State,1998,03,4.2,2135845
01,State,1998,04,4.2,2137621
01,State,1998,05,4.3,2139139
01,State,1998,06,4.4,2139862
01,State,1998,07,4.4,2139606
01,State,1998,08,4.5,2138618
01,State,1998,09,4.5,2137578
01,State,1998,10,4.5,2136888
01,State,1998,11,4.5,2136677
01,State,1998,12,4.5,2136924
01,State,1999,01,4.5,2137283
01,State,1999,02,4.6,2137766
01,State,1999,03,4.6,2138649
01,State,1999,04,4.7,2139918
01,State,1999,05,4.8,2141186
01,State,1999,06,4.8,2142071
01,State,1999,07,4.8,2142389
01,State,1999,08,4.8,2142228
01,State,1999,09,4.8,2142023
01,State,1999,10,4.8,2142095
01,State,1999,11,4.8,2142456
01,State,1999,12,4.7,2142777
01,State,2000,01,4.7,2142754
01,State,2000,02,4.6,2141917
01,State,2000,03,4.6,2140159
01,State,2000,04,4.5,2137773
01,State,2000,05,4.5,2135270
01,State,2000,06,4.5,2133064
01,State,2000,07,4.5,2131186
01,State,2000,08,4.5,2129674
01,State,2000,09,4.5,2128471
01,State,2000,10,4.5,2127687
01,State,2000,11,4.6,2127512
01,State,2000,12,4.6,2127569
01,State,2001,01,4.7,2127145
01,State,2001,02,4.7,2125637
01,State,2001,03,4.8,2122825
01,State,2001,04,4.8,2119034
01,State,2001,05,4.8,2115124
01,State,2001,06,4.9,2111957
01,State,2001,07,5.0,2110325
01,State,2001,08,5.2,2110050
01,State,2001,09,5.4,2110331
01,State,2001,10,5.7,2110469
01,State,2001,11,5.9,2109801
01,State,2001,12,6.0,2108342
01,State,2002,01,6.1,2106354
01,State,2002,02,6.1,2104169
01,State,2002,03,6.0,2102203
01,State,2002,04,6.0,2101054
01,State,2002,05,5.9,2101094
01,State,2002,06,5.9,2102315
01,State,2002,07,5.9,2104378
01,State,2002,08,5.8,2106933
01,State,2002,09,5.8,2109700
01,State,2002,10,5.8,2111951
01,State,2002,11,5.8,2113442
01,State,2002,12,5.8,2114397
01,State,2003,01,5.8,2115470
01,State,2003,02,5.8,2116995
01,State,2003,03,5.9,2118709
01,State,2003,04,6.0,2120006
01,State,2003,05,6.1,2120460
01,State,2003,06,6.1,2120441
01,State,2003,07,6.2,2120251
01,State,2003,08,6.2,2120395
01,State,2003,09,6.1,2121232
01,State,2003,10,6.1,2122945
01,State,2003,11,6.0,2125336
01,State,2003,12,6.0,2127954
01,State,2004,01,6.0,2130386
01,State,2004,02,6.0,2132628
01,State,2004,03,5.9,2135094
01,State,2004,04,5.9,2137628
01,State,2004,05,5.8,2139884
01,State,2004,06,5.8,2141361
01,State,2004,07,5.7,2141838
01,State,2004,08,5.7,2141398
01,State,2004,09,5.6,2140283
01,State,2004,10,5.5,2138816
01,State,2004,11,5.4,2137251
01,State,2004,12,5.2,2136015
01,State,2005,01,5.1,2135405
01,State,2005,02,4.9,2135560
01,State,2005,03,4.7,2136325
01,State,2005,04,4.6,2137703
01,State,2005,05,4.5,2139758
01,State,2005,06,4.4,2142223
01,State,2005,07,4.3,2144847
01,State,2005,08,4.3,2147224
01,State,2005,09,4.3,2149065
01,State,2005,10,4.3,2150297
01,State,2005,11,4.2,2151233
01,State,2005,12,4.2,2151993
01,State,2006,01,4.1,2152923
01,State,2006,02,4.1,2154416
01,State,2006,03,4.0,2156710
01,State,2006,04,4.1,2159699
01,State,2006,05,4.1,2162868
01,State,2006,06,4.1,2165680
01,State,2006,07,4.1,2168044
01,State,2006,08,4.1,2169999
01,State,2006,09,4.0,2171664
01,State,2006,10,4.0,2173308
01,State,2006,11,4.0,2174960
01,State,2006,12,3.9,2176207
01,State,2007,01,3.9,2176535
01,State,2007,02,3.9,2175545
01,State,2007,03,3.8,2173243
01,State,2007,04,3.8,2170488
01,State,2007,05,3.9,2168283
01,State,2007,06,3.9,2167482
01,State,2007,07,4.0,2168581
01,State,2007,08,4.1,2171350
01,State,2007,09,4.2,2174905
01,State,2007,10,4.3,2178066
01,State,2007,11,4.4,2179776
01,State,2007,12,4.4,2180031
01,State,2008,01,4.5,2179154
01,State,2008,02,4.6,2177765
01,State,2008,03,4.8,2176558
01,State,2008,04,5.0,2175861
01,State,2008,05,5.2,2175612
01,State,2008,06,5.5,2175468
01,State,2008,07,5.7,2174639
01,State,2008,08,6.0,2173014
01,State,2008,09,6.4,2171358
01,State,2008,10,6.9,2170420
01,State,2008,11,7.5,2170473
01,State,2008,12,8.3,2171204
01,State,2009,01,9.1,2172024
01,State,2009,02,9.8,2172507
01,State,2009,03,10.4,2172253
01,State,2009,04,10.9,2170829
01,State,2009,05,11.2,2168222
01,State,2009,06,11.4,2164657
01,State,2009,07,11.6,2160481
01,State,2009,08,11.8,2156074
01,State,2009,09,11.9,2151774
01,State,2009,10,11.9,2148004
01,State,2009,11,11.9,2145522
01,State,2009,12,11.8,2144484
01,State,2010,01,11.7,2144250
01,State,2010,02,11.6,2143689
01,State,2010,03,11.3,2141960
01,State,2010,04,10.8,2200010
01,State,2010,05,10.4,2213797
01,State,2010,06,10.1,2214363
01,State,2010,07,10.0,2212036
01,State,2010,08,9.9,2210518
01,State,2010,09,10.0,2210724
01,State,2010,10,10.1,2212107
01,State,2010,11,10.2,2213455
01,State,2010,12,10.3,2213681
01,State,2011,01,10.2,2216121
01,State,2011,02,10.1,2213503
01,State,2011,03,10.0,2210116
01,State,2011,04,9.9,2206839
01,State,2011,05,9.9,2204321
01,State,2011,06,9.8,2202354
01,State,2011,07,9.7,2200339
01,State,2011,08,9.6,2197316
01,State,2011,09,9.3,2192373
01,State,2011,10,9.0,2185696
01,State,2011,11,8.7,2178051
01,State,2011,12,8.3,2170696
01,State,2012,01,8.1,2165213
01,State,2012,02,8.0,2162685
01,State,2012,03,8.0,2163111
01,State,2012,04,8.1,2165301
01,State,2012,05,8.2,2167883
01,State,2012,06,8.2,2169811
01,State,2012,07,8.2,2170465
01,State,2012,08,8.1,2169934
01,State,2012,09,7.9,2168958
01,State,2012,10,7.8,2167852
01,State,2012,11,7.7,2166769
01,State,2012,12,7.6,2165648
01,State,2013,01,7.5,2164118
01,State,2013,02,7.4,2161895
01,State,2013,03,7.2,2159126
01,State,2013,04,7.1,2156495
01,State,2013,05,7.0,2154354
01,State,2013,06,7.0,2152777
01,State,2013,07,7.0,2151768
01,State,2013,08,7.0,2151048
01,State,2013,09,7.1,2150583
01,State,2013,10,7.1,2150729
01,State,2013,11,7.2,2151695
01,State,2013,12,7.2,2153145
01,State,2014,01,7.2,2154417
01,State,2014,02,7.2,2154911
01,State,2014,03,7.2,2154171
01,State,2014,04,7.1,2152040
01,State,2014,05,6.9,2149027
01,State,2014,06,6.8,2146175
01,State,2014,07,6.7,2144052
01,State,2014,08,6.6,2142900
01,State,2014,09,6.4,2142291
01,State,2014,10,6.3,2141558
01,State,2014,11,6.2,2140464
01,State,2014,12,6.1,2139570
01,State,2015,01,6.0,2139301
01,State,2015,02,6.0,2139733
01,State,2015,03,6.1,2140730
01,State,2015,04,6.1,2141864
01,State,2015,05,6.1,2142493
01,State,2015,06,6.1,2142258
01,State,2015,07,6.1,2141536
01,State,2015,08,6.1,2141051
01,State,2015,09,6.1,2141405
01,State,2015,10,6.1,2142579
01,State,2015,11,6.2,2144046
01,State,2015,12,6.3,2145878
01,State,2016,01,6.2,2154746
01,State,2016,02,6.2,2167334
01,State,2016,03,6.2,2176102
01,State,2016,04,6.1,2181033
01,State,2016,05,6.0,2182262
01,State,2016,06,6.0,2175271
01,State,2016,07,5.7,2162124
02,State,1976,01,7.2,156766
02,State,1976,02,7.1,157769
02,State,1976,03,7.1,159057
02,State,1976,04,7.0,160511
02,State,1976,05,7.0,162118
02,State,1976,06,7.1,163806
02,State,1976,07,7.3,165363
02,State,1976,08,7.6,166556
02,State,1976,09,7.9,167344
02,State,1976,10,8.1,167791
02,State,1976,11,8.4,168090
02,State,1976,12,8.6,168501
02,State,1977,01,8.9,169162
02,State,1977,02,9.2,170043
02,State,1977,03,9.4,170941
02,State,1977,04,9.6,171587
02,State,1977,05,9.8,171925
02,State,1977,06,9.9,172106
02,State,1977,07,10.0,172348
02,State,1977,08,10.0,172951
02,State,1977,09,10.1,174019
02,State,1977,10,10.3,175458
02,State,1977,11,10.5,177035
02,State,1977,12,10.7,178467
02,State,1978,01,10.8,179597
02,State,1978,02,11.0,180381
02,State,1978,03,11.0,180896
02,State,1978,04,11.0,181293
02,State,1978,05,10.9,181632
02,State,1978,06,10.8,181923
02,State,1978,07,10.7,182230
02,State,1978,08,10.6,182543
02,State,1978,09,10.4,182851
02,State,1978,10,10.2,183202
02,State,1978,11,10.1,183547
02,State,1978,12,9.9,183827
02,State,1979,01,9.7,183991
02,State,1979,02,9.5,184048
02,State,1979,03,9.4,184003
02,State,1979,04,9.3,183855
02,State,1979,05,9.2,183653
02,State,1979,06,9.2,183458
02,State,1979,07,9.2,183339
02,State,1979,08,9.2,183318
02,State,1979,09,9.2,183417
02,State,1979,10,9.2,183596
02,State,1979,11,9.1,183902
02,State,1979,12,9.1,184359
02,State,1980,01,9.1,184941
02,State,1980,02,9.2,185623
02,State,1980,03,9.4,186387
02,State,1980,04,9.6,187155
02,State,1980,05,9.8,187804
02,State,1980,06,10.0,188226
02,State,1980,07,10.0,188358
02,State,1980,08,10.0,188287
02,State,1980,09,9.9,188170
02,State,1980,10,9.8,188131
02,State,1980,11,9.6,188248
02,State,1980,12,9.4,188548
02,State,1981,01,9.3,189030
02,State,1981,02,9.1,189669
02,State,1981,03,8.9,190476
02,State,1981,04,8.9,191501
02,State,1981,05,9.0,192822
02,State,1981,06,9.2,194472
02,State,1981,07,9.4,196403
02,State,1981,08,9.6,198442
02,State,1981,09,9.7,200371
02,State,1981,10,9.8,202029
02,State,1981,11,9.8,203345
02,State,1981,12,9.8,204389
02,State,1982,01,9.8,205313
02,State,1982,02,9.8,206289
02,State,1982,03,9.8,207434
02,State,1982,04,9.9,208832
02,State,1982,05,9.9,210438
02,State,1982,06,9.9,212120
02,State,1982,07,9.9,213739
02,State,1982,08,9.9,215226
02,State,1982,09,10.0,216611
02,State,1982,10,10.1,217998
02,State,1982,11,10.2,219497
02,State,1982,12,10.3,221151
02,State,1983,01,10.3,222979
02,State,1983,02,10.2,224915
02,State,1983,03,10.1,226859
02,State,1983,04,9.9,228722
02,State,1983,05,9.8,230442
02,State,1983,06,9.7,231988
02,State,1983,07,9.7,233322
02,State,1983,08,9.7,234445
02,State,1983,09,9.8,235409
02,State,1983,10,9.9,236303
02,State,1983,11,10.0,237208
02,State,1983,12,10.1,238201
02,State,1984,01,10.2,239307
02,State,1984,02,10.2,240522
02,State,1984,03,10.2,241824
02,State,1984,04,10.1,243101
02,State,1984,05,10.0,244279
02,State,1984,06,9.9,245374
02,State,1984,07,9.8,246396
02,State,1984,08,9.7,247347
02,State,1984,09,9.6,248203
02,State,1984,10,9.6,248959
02,State,1984,11,9.5,249631
02,State,1984,12,9.5,250205
02,State,1985,01,9.5,250620
02,State,1985,02,9.5,250874
02,State,1985,03,9.6,250997
02,State,1985,04,9.7,251085
02,State,1985,05,9.7,251223
02,State,1985,06,9.7,251438
02,State,1985,07,9.7,251767
02,State,1985,08,9.7,252245
02,State,1985,09,9.7,252860
02,State,1985,10,9.7,253563
02,State,1985,11,9.9,254311
02,State,1985,12,10.0,255076
02,State,1986,01,10.3,255804
02,State,1986,02,10.5,256399
02,State,1986,03,10.8,256770
02,State,1986,04,11.0,256864
02,State,1986,05,11.1,256651
02,State,1986,06,11.2,256183
02,State,1986,07,11.2,255551
02,State,1986,08,11.2,254839
02,State,1986,09,11.1,254106
02,State,1986,10,11.0,253382
02,State,1986,11,10.9,252642
02,State,1986,12,10.9,251871
02,State,1987,01,10.8,251135
02,State,1987,02,10.7,250436
02,State,1987,03,10.7,249751
02,State,1987,04,10.6,249068
02,State,1987,05,10.5,248443
02,State,1987,06,10.4,247932
02,State,1987,07,10.3,247588
02,State,1987,08,10.2,247449
02,State,1987,09,10.0,247518
02,State,1987,10,9.8,247741
02,State,1987,11,9.7,248018
02,State,1987,12,9.5,248217
02,State,1988,01,9.4,248214
02,State,1988,02,9.2,248038
02,State,1988,03,9.1,247813
02,State,1988,04,9.0,247661
02,State,1988,05,9.0,247687
02,State,1988,06,8.9,247939
02,State,1988,07,8.8,248421
02,State,1988,08,8.7,249047
02,State,1988,09,8.6,249707
02,State,1988,10,8.5,250263
02,State,1988,11,8.2,250637
02,State,1988,12,8.0,250854
02,State,1989,01,7.7,251022
02,State,1989,02,7.4,251291
02,State,1989,03,7.1,251807
02,State,1989,04,6.9,252674
02,State,1989,05,6.8,253846
02,State,1989,06,6.7,255174
02,State,1989,07,6.7,256433
02,State,1989,08,6.8,257494
02,State,1989,09,6.9,258368
02,State,1989,10,7.0,259194
02,State,1989,11,7.0,260140
02,State,1989,12,7.1,261317
02,State,1990,01,7.2,262721
02,State,1990,02,7.2,264217
02,State,1990,03,7.2,265636
02,State,1990,04,7.2,266832
02,State,1990,05,7.2,267756
02,State,1990,06,7.2,268474
02,State,1990,07,7.2,269122
02,State,1990,08,7.2,269783
02,State,1990,09,7.2,270431
02,State,1990,10,7.3,271020
02,State,1990,11,7.3,271550
02,State,1990,12,7.4,272049
02,State,1991,01,7.5,272563
02,State,1991,02,7.7,273160
02,State,1991,03,7.9,273847
02,State,1991,04,8.1,274559
02,State,1991,05,8.2,275256
02,State,1991,06,8.4,275902
02,State,1991,07,8.6,276481
02,State,1991,08,8.7,277076
02,State,1991,09,8.9,277846
02,State,1991,10,9.0,278859
02,State,1991,11,9.2,280085
02,State,1991,12,9.3,281412
02,State,1992,01,9.3,282724
02,State,1992,02,9.3,283913
02,State,1992,03,9.3,284939
02,State,1992,04,9.2,285832
02,State,1992,05,9.1,286612
02,State,1992,06,9.0,287289
02,State,1992,07,9.0,287902
02,State,1992,08,8.9,288458
02,State,1992,09,8.7,288926
02,State,1992,10,8.6,289333
02,State,1992,11,8.4,289732
02,State,1992,12,8.2,290197
02,State,1993,01,8.0,290800
02,State,1993,02,7.9,291560
02,State,1993,03,7.8,292436
02,State,1993,04,7.7,293346
02,State,1993,05,7.7,294235
02,State,1993,06,7.7,295115
02,State,1993,07,7.7,295973
02,State,1993,08,7.6,296796
02,State,1993,09,7.6,297605
02,State,1993,10,7.6,298400
02,State,1993,11,7.6,299153
02,State,1993,12,7.6,299854
02,State,1994,01,7.6,300462
02,State,1994,02,7.7,300961
02,State,1994,03,7.7,301375
02,State,1994,04,7.8,301750
02,State,1994,05,7.7,302105
02,State,1994,06,7.7,302430
02,State,1994,07,7.6,302735
02,State,1994,08,7.5,303022
02,State,1994,09,7.4,303258
02,State,1994,10,7.4,303408
02,State,1994,11,7.4,303436
02,State,1994,12,7.3,303305
02,State,1995,01,7.3,303058
02,State,1995,02,7.2,302797
02,State,1995,03,7.2,302609
02,State,1995,04,7.1,302584
02,State,1995,05,7.1,302787
02,State,1995,06,7.2,303229
02,State,1995,07,7.2,303845
02,State,1995,08,7.3,304543
02,State,1995,09,7.4,305217
02,State,1995,10,7.5,305808
02,State,1995,11,7.6,306347
02,State,1995,12,7.7,306879
02,State,1996,01,7.7,307403
02,State,1996,02,7.7,307918
02,State,1996,03,7.7,308445
02,State,1996,04,7.7,308969
02,State,1996,05,7.6,309460
02,State,1996,06,7.6,309894
02,State,1996,07,7.5,310254
02,State,1996,08,7.5,310550
02,State,1996,09,7.5,310810
02,State,1996,10,7.5,311046
02,State,1996,11,7.5,311276
02,State,1996,12,7.5,311532
02,State,1997,01,7.5,311829
02,State,1997,02,7.5,312151
02,State,1997,03,7.4,312473
02,State,1997,04,7.4,312776
02,State,1997,05,7.3,313052
02,State,1997,06,7.2,313285
02,State,1997,07,7.1,313463
02,State,1997,08,7.1,313600
02,State,1997,09,7.0,313738
02,State,1997,10,6.9,313935
02,State,1997,11,6.7,314196
02,State,1997,12,6.6,314495
02,State,1998,01,6.4,314825
02,State,1998,02,6.3,315145
02,State,1998,03,6.3,315384
02,State,1998,04,6.3,315520
02,State,1998,05,6.3,315575
02,State,1998,06,6.3,315599
02,State,1998,07,6.3,315675
02,State,1998,08,6.4,315843
02,State,1998,09,6.4,316109
02,State,1998,10,6.4,316451
02,State,1998,11,6.4,316808
02,State,1998,12,6.5,317128
02,State,1999,01,6.5,317349
02,State,1999,02,6.6,317448
02,State,1999,03,6.6,317456
02,State,1999,04,6.6,317430
02,State,1999,05,6.6,317421
02,State,1999,06,6.5,317491
02,State,1999,07,6.5,317669
02,State,1999,08,6.4,317949
02,State,1999,09,6.4,318283
02,State,1999,10,6.3,318589
02,State,1999,11,6.3,318818
02,State,1999,12,6.3,318951
02,State,2000,01,6.3,319021
02,State,2000,02,6.3,319102
02,State,2000,03,6.3,319246
02,State,2000,04,6.3,319440
02,State,2000,05,6.3,319631
02,State,2000,06,6.4,319751
02,State,2000,07,6.4,319768
02,State,2000,08,6.4,319716
02,State,2000,09,6.4,319626
02,State,2000,10,6.4,319539
02,State,2000,11,6.4,319477
02,State,2000,12,6.4,319472
02,State,2001,01,6.3,319546
02,State,2001,02,6.3,319727
02,State,2001,03,6.3,320043
02,State,2001,04,6.3,320494
02,State,2001,05,6.4,321040
02,State,2001,06,6.4,321589
02,State,2001,07,6.4,322037
02,State,2001,08,6.5,322306
02,State,2001,09,6.5,322426
02,State,2001,10,6.5,322510
02,State,2001,11,6.6,322688
02,State,2001,12,6.7,323022
02,State,2002,01,6.8,323503
02,State,2002,02,6.9,324061
02,State,2002,03,7.1,324592
02,State,2002,04,7.2,325055
02,State,2002,05,7.3,325477
02,State,2002,06,7.4,325917
02,State,2002,07,7.4,326424
02,State,2002,08,7.5,327025
02,State,2002,09,7.5,327701
02,State,2002,10,7.5,328398
02,State,2002,11,7.5,329061
02,State,2002,12,7.6,329677
02,State,2003,01,7.7,330242
02,State,2003,02,7.7,330725
02,State,2003,03,7.8,331088
02,State,2003,04,7.8,331303
02,State,2003,05,7.9,331379
02,State,2003,06,7.9,331394
02,State,2003,07,7.9,331448
02,State,2003,08,7.9,331624
02,State,2003,09,7.8,331946
02,State,2003,10,7.8,332384
02,State,2003,11,7.8,332882
02,State,2003,12,7.8,333342
02,State,2004,01,7.7,333701
02,State,2004,02,7.7,333981
02,State,2004,03,7.6,334253
02,State,2004,04,7.6,334598
02,State,2004,05,7.5,335099
02,State,2004,06,7.5,335780
02,State,2004,07,7.4,336612
02,State,2004,08,7.4,337532
02,State,2004,09,7.3,338482
02,State,2004,10,7.3,339410
02,State,2004,11,7.2,340261
02,State,2004,12,7.2,341029
02,State,2005,01,7.1,341700
02,State,2005,02,7.0,342265
02,State,2005,03,6.9,342775
02,State,2005,04,6.8,343271
02,State,2005,05,6.8,343776
